repo_name,count
[conda-forge/feedstocks],37
[cloudfoundry/relint-ci-pools],6
[cdnjs/cdnjs],4
[firebase/SpecsTesting],3
[ExcessiveUseOfCobblestone/tgstation],2
"[FireBurn/Overlay,gentoo-mirror/FireBurn]",1
[WhatAboutGaming/Twitch-Plays-Stuff],1
[circe/circe-yaml],1
[scality/Arsenal],1
[googleapis/google-cloud-java],1
"[Olympic1/CKAN-meta,KSP-CKAN/CKAN-meta]",1
[AOSC-Dev/aosc-os-abbs],1
"[jakirkham/staged-recipes,stuertz/staged-recipes,mariusvniekerk/staged-recipes,goanpeca/staged-recipes,johanneskoester/staged-recipes,conda-forge/staged-recipes,ocefpaf/staged-recipes,ReimarBauer/staged-recipes,kwilcox/staged-recipes,hadim/staged-recipes]",1
"[jwren/intellij-community,JetBrains/intellij-community,ingokegel/intellij-community,Maccimo/intellij-community,google/intellij-community,mdaniel/intellij-community,GunoH/intellij-community,dahlstrom-g/intellij-community]",1
[Shyim/shopware],1
[angular/cdk-builds],1
[gopala-kr/summary],1
